date max mean median min stdv sum topic n1 no st rt
20170801 21.85 5.25 4.83 2.69 1.55 49255.48 RTS148 0.0473 0.0473 12 10
20170802 18.88 5.14 4.62 3.34 1.5 47637.57 RTS148 0.0473 0.0473 12 10
20170803 18.66 5.17 4.62 3.34 1.52 50430.72 RTS148 0.0473 0.0473 12 10
20170804 21.51 5.22 4.82 3.35 1.54 51359.28 RTS148 0.0473 0.0473 12 10
20170805 24.85 5.27 4.93 2.69 1.57 40232.26 RTS148 0.0473 0.0473 12 10
20170729 18.96 6.01 5.52 3.98 1.38 17869.02 RTS151 0.5 0.5 22 10
20170730 16.15 6.23 5.89 2.41 1.35 17155.48 RTS151 0.5 0.5 22 10
20170731 17.14 5.87 5.55 4.01 1.27 19797.92 RTS151 0.5 0.5 22 10
20170801 19.8 5.82 5.56 3.23 1.16 22328.58 RTS151 0.5 0.5 22 10
20170802 21.18 5.78 5.44 3.93 1.14 19917.57 RTS151 0.5 0.5 22 10
20170803 20.92 5.93 5.6 4.05 1.25 20531.09 RTS151 0.5 0.5 22 10
20170804 20.09 5.86 5.54 4.01 1.29 21476.52 RTS151 0.5 0.5 22 10
20170805 19.9 6.02 5.68 4.1 1.29 16986.54 RTS151 0.5 0.5 22 10
20170729 19.98 5.84 5.55 2.68 1.58 43265.19 RTS153 0.203 0.203 19 12
20170730 18.45 5.92 5.76 1.24 1.57 45573.89 RTS153 0.203 0.203 19 12
20170731 28.74 5.52 5.46 3.25 1.52 55837.01 RTS153 0.203 0.203 19 12
20170801 20.34 5.48 5.47 1.81 1.57 54640.35 RTS153 0.203 0.203 19 12
20170802 23.06 5.52 5.51 3.3 1.62 47409.78 RTS153 0.203 0.203 19 12
20170803 20.46 5.68 5.64 1.51 1.54 55474.53 RTS153 0.203 0.203 19 12
20170804 20.5 5.67 5.42 3.38 1.51 57880.68 RTS153 0.203 0.203 19 12
20170805 21.87 5.72 5.09 3.44 1.48 53091.26 RTS153 0.203 0.203 19 12
20170729 16.41 4.48 4.07 2.04 1.35 118435.85 RTS154 0.0553 0.0553 12 12
20170730 16.75 4.66 4.15 1.25 1.4 124557.69 RTS154 0.0553 0.0553 12 12
20170731 18.15 4.44 4.06 2.63 1.32 130866.29 RTS154 0.0553 0.0553 12 12
20170801 17.49 4.49 4.07 2.07 1.34 133217.8 RTS154 0.0553 0.0553 12 12
20170802 14.51 4.41 4.09 2.03 1.3 123320.21 RTS154 0.0553 0.0553 12 12
20170803 19.52 4.52 4.0 2.13 1.29 132818.48 RTS154 0.0553 0.0553 12 12
20170804 18.78 4.5 3.98 2.11 1.34 135042.33 RTS154 0.0553 0.0553 12 12
20170805 18.31 4.49 4.02 1.62 1.33 119579.48 RTS154 0.0553 0.0553 12 12
20170729 22.18 5.6 5.16 3.07 1.3 23502.01 RTS156 0.74 0.74 20 10
20170730 18.51 6.14 5.76 2.26 1.35 23906.66 RTS156 0.74 0.74 20 10
20170731 20.14 5.95 5.48 3.95 1.3 24652.51 RTS156 0.74 0.74 20 10
20170801 17.9 5.8 5.42 3.9 1.37 25367.73 RTS156 0.74 0.74 20 10
20170802 17.87 5.73 5.36 3.87 1.28 23029.75 RTS156 0.74 0.74 20 10
20170803 21.23 5.61 5.27 3.81 1.23 27485.22 RTS156 0.74 0.74 20 10
20170804 19.85 5.67 5.34 3.02 1.27 27147.75 RTS156 0.74 0.74 20 10
20170805 21.27 5.76 5.36 3.87 1.38 22481.46 RTS156 0.74 0.74 20 10
20170729 25.65 4.98 4.98 2.95 1.39 60484.96 RTS159 0.875 0.875 22 10
20170730 21.3 5.15 4.96 1.4 1.46 61378.75 RTS159 0.875 0.875 22 10
20170731 18.62 4.94 4.76 2.94 1.38 70728.98 RTS159 0.875 0.875 22 10
20170801 16.62 5.04 4.71 2.31 1.44 73647.84 RTS159 0.875 0.875 22 10
20170802 24.85 5.0 4.72 2.35 1.4 65564.46 RTS159 0.875 0.875 22 10
20170803 18.33 5.08 4.94 2.99 1.47 80066.97 RTS159 0.875 0.875 22 10
20170804 17.66 5.12 5.09 2.37 1.43 77229.61 RTS159 0.875 0.875 22 10
20170805 15.76 5.0 4.65 2.31 1.42 65640.87 RTS159 0.875 0.875 22 10
20170729 21.57 7.93 6.63 3.07 3.03 34434.95 RTS161 0.2796 0.2796 21 10
20170730 21.41 8.35 6.98 4.19 3.23 30937.58 RTS161 0.2796 0.2796 21 10
20170731 24.86 7.95 6.66 3.96 3.12 32869.03 RTS161 0.2796 0.2796 21 10
20170801 28.36 7.97 6.58 3.92 3.4 36841.17 RTS161 0.2796 0.2796 21 10
20170802 24.03 8.69 6.6 3.93 4.44 39061.02 RTS161 0.2796 0.2796 21 10
20170803 20.49 7.54 5.94 3.89 3.42 31264.43 RTS161 0.2796 0.2796 21 10
20170804 20.77 7.36 5.62 3.02 3.28 31837.27 RTS161 0.2796 0.2796 21 10
20170805 22.18 7.56 5.7 3.87 3.41 27026.92 RTS161 0.2796 0.2796 21 10
20170729 25.76 7.24 6.84 4.52 2.08 9307.18 RTS162 0.125 0.125 22 10
20170730 26.63 7.81 7.15 1.71 2.52 8464.32 RTS162 0.125 0.125 22 10
20170731 25.06 7.7 6.9 4.24 2.29 11051.25 RTS162 0.125 0.125 22 10
20170801 34.36 7.35 6.57 3.71 2.14 12296.39 RTS162 0.125 0.125 22 10
20170802 24.67 7.56 6.78 4.62 2.27 10929.3 RTS162 0.125 0.125 22 10
20170803 21.44 7.37 6.88 3.92 1.94 11463.94 RTS162 0.125 0.125 22 10
20170804 26.18 7.73 7.07 4.87 2.13 10184.63 RTS162 0.125 0.125 22 10
20170805 26.21 7.74 6.91 3.74 2.24 8431.6 RTS162 0.125 0.125 22 10
20170729 21.13 3.62 3.38 1.12 1.1 204911.96 RTS164 0.4044 0.4044 12 10
20170730 18.46 3.82 3.57 0.75 1.14 214897.8 RTS164 0.4044 0.4044 12 10
20170731 13.73 3.64 3.43 1.14 1.08 226453.21 RTS164 0.4044 0.4044 12 10
20170801 15.06 3.65 3.42 1.13 1.07 236002.77 RTS164 0.4044 0.4044 12 10
20170802 15.21 3.65 3.42 1.59 1.08 213417.2 RTS164 0.4044 0.4044 12 10
20170803 14.0 3.68 3.46 1.15 1.08 231159.79 RTS164 0.4044 0.4044 12 10
20170804 15.1 3.66 3.4 1.13 1.07 244189.76 RTS164 0.4044 0.4044 12 10
20170805 12.97 3.61 3.37 1.55 1.09 221079.94 RTS164 0.4044 0.4044 12 10
20170729 14.11 5.99 5.79 2.98 1.21 26858.52 RTS166 0.238 0.088 15 12
20170730 16.13 6.2 6.05 1.82 1.16 28495.71 RTS166 0.238 0.088 15 12
20170731 14.19 6.07 5.8 3.9 1.2 29127.15 RTS166 0.238 0.088 15 12
20170801 17.45 6.04 5.76 3.91 1.22 29317.17 RTS166 0.238 0.088 15 12
20170802 15.66 6.12 5.87 3.92 1.25 24937.64 RTS166 0.238 0.088 15 12
20170803 16.81 6.1 5.76 3.86 1.23 32270.85 RTS166 0.238 0.088 15 12
20170804 17.26 5.98 5.9 3.33 1.19 31869.97 RTS166 0.238 0.088 15 12
20170805 17.44 5.72 5.68 3.76 1.02 33430.93 RTS166 0.238 0.088 15 12
20170729 23.16 5.98 5.29 3.82 1.55 17920.98 RTS167 0.1787 0.1787 12 10
20170730 24.17 6.13 5.42 3.09 1.64 19518.95 RTS167 0.1787 0.1787 12 10
20170731 25.17 5.99 5.95 2.9 1.73 28741.52 RTS167 0.1787 0.1787 12 10
20170801 22.25 6.31 5.47 3.76 2.14 27405.68 RTS167 0.1787 0.1787 12 10
20170802 23.37 5.94 5.2 3.75 1.77 25647.55 RTS167 0.1787 0.1787 12 10
20170803 17.84 5.6 5.09 3.65 1.34 30170.69 RTS167 0.1787 0.1787 12 10
20170804 21.08 5.79 5.19 3.75 1.45 24705.54 RTS167 0.1787 0.1787 12 10
20170805 21.59 6.14 5.29 3.82 1.93 18929.48 RTS167 0.1787 0.1787 12 10
20170729 25.11 5.57 5.07 3.62 1.26 25621.91 RTS171 0.3665 0.3665 12 10
20170730 20.58 5.88 5.37 3.78 1.29 26947.88 RTS171 0.3665 0.3665 12 10
20170731 25.24 5.71 5.04 3.65 1.36 27101.88 RTS171 0.3665 0.3665 12 10
20170801 20.44 5.54 4.79 3.46 1.32 32508.81 RTS171 0.3665 0.3665 12 10
20170802 17.22 5.41 4.7 3.4 1.33 30749.9 RTS171 0.3665 0.3665 12 10
20170803 17.58 5.55 5.04 3.65 1.31 27980.18 RTS171 0.3665 0.3665 12 10
20170804 17.9 5.69 5.07 3.67 1.33 27290.23 RTS171 0.3665 0.3665 12 10
20170805 17.96 5.41 4.88 3.52 1.43 26623.98 RTS171 0.3665 0.3665 12 10
20170729 27.8 5.54 4.77 2.69 1.34 34390.8 RTS173 0.5385 0.5385 19 10
20170730 16.66 5.91 5.62 2.9 1.27 36476.47 RTS173 0.5385 0.5385 19 10
20170731 18.13 5.65 5.46 3.57 1.2 37772.66 RTS173 0.5385 0.5385 19 10
20170801 18.83 5.58 5.34 3.51 1.24 39703.75 RTS173 0.5385 0.5385 19 10
20170802 24.04 5.37 4.84 3.4 1.22 40304.4 RTS173 0.5385 0.5385 19 10
20170803 18.73 5.41 5.35 3.43 1.22 46563.59 RTS173 0.5385 0.5385 19 10
20170804 18.9 5.41 4.95 3.38 1.27 44710.66 RTS173 0.5385 0.5385 19 10
20170805 23.29 5.4 5.25 3.34 1.22 41609.0 RTS173 0.5385 0.5385 19 10
20170729 22.59 7.39 6.71 4.84 2.01 4287.88 RTS174 0.1935 0.1935 12 12
20170730 23.55 7.68 7.11 2.65 1.77 3807.87 RTS174 0.1935 0.1935 12 12
20170731 17.84 7.04 6.53 4.72 1.72 5251.54 RTS174 0.1935 0.1935 12 12
20170801 22.2 7.15 6.55 4.73 1.75 5435.83 RTS174 0.1935 0.1935 12 12
20170802 25.63 7.1 6.5 4.7 2.14 5009.23 RTS174 0.1935 0.1935 12 12
