date max mean median min stdv sum topic n1 no st rt
20170805 13.39 9.68 9.33 8.75 0.62 8285.33 RTS139 0.2344 0.2344 17 10
20170729 17.37 8.13 7.8 7.23 0.81 23691.61 RTS144 0.1511 0.1261 20 13
20170730 17.53 8.43 8.04 6.65 0.89 23498.96 RTS144 0.1511 0.1261 20 13
20170731 21.15 8.47 8.05 7.48 0.91 22754.82 RTS144 0.1511 0.1261 20 13
20170801 20.86 8.21 7.84 7.26 0.94 26580.66 RTS144 0.1511 0.1261 20 13
20170802 21.49 8.12 7.75 7.18 0.96 25379.86 RTS144 0.1511 0.1261 20 13
20170803 21.53 8.27 7.92 5.97 0.87 25312.34 RTS144 0.1511 0.1261 20 13
20170804 21.48 8.32 7.96 7.39 0.89 24648.45 RTS144 0.1511 0.1261 20 13
20170805 21.67 8.45 8.06 7.12 0.89 20428.5 RTS144 0.1511 0.1261 20 13
20170729 22.78 6.42 5.4 4.03 2.02 246282.13 RTS147 0.0 0.0 20 14
20170730 23.48 6.49 5.56 4.18 1.73 248866.47 RTS147 0.0 0.0 20 14
20170731 23.01 6.36 5.44 4.51 1.66 287591.66 RTS147 0.0 0.0 20 14
20170801 22.39 6.36 5.43 4.86 1.72 291644.02 RTS147 0.0 0.0 20 14
20170802 21.78 6.44 5.42 4.49 1.96 269477.03 RTS147 0.0 0.0 20 14
20170803 22.2 6.47 5.48 4.55 1.79 291003.97 RTS147 0.0 0.0 20 14
20170804 23.57 6.43 5.47 4.53 1.67 300504.55 RTS147 0.0 0.0 20 14
20170805 23.25 6.4 5.43 4.49 1.69 273390.08 RTS147 0.0 0.0 20 14
20170729 27.03 8.05 7.8 6.8 1.8 61965.94 RTS148 0.0929 0.0929 20 14
20170730 34.67 8.37 7.96 6.31 2.02 57665.81 RTS148 0.0929 0.0929 20 14
20170731 27.76 8.06 7.68 6.55 1.78 70040.82 RTS148 0.0929 0.0929 20 14
20170801 30.98 8.04 7.68 6.43 1.9 75471.69 RTS148 0.0929 0.0929 20 14
20170802 29.89 7.89 7.6 6.63 1.83 73116.24 RTS148 0.0929 0.0929 20 14
20170803 26.57 7.9 7.53 6.64 1.78 77026.25 RTS148 0.0929 0.0929 20 14
20170804 26.68 7.93 7.68 6.66 1.82 78107.75 RTS148 0.0929 0.0929 20 14
20170805 33.34 8.04 7.85 6.47 1.81 61349.62 RTS148 0.0929 0.0929 20 14
20170729 22.7 8.78 8.48 7.67 1.24 26114.48 RTS151 0.5 0.5 29 14
20170730 22.15 8.96 8.58 7.19 1.21 24686.63 RTS151 0.5 0.5 29 14
20170731 19.39 8.71 8.39 7.73 1.09 29365.47 RTS151 0.5 0.5 29 14
20170801 26.65 8.65 8.33 7.55 1.02 33153.31 RTS151 0.5 0.5 29 14
20170802 28.15 8.6 8.39 7.6 1.09 29624.17 RTS151 0.5 0.5 29 14
20170803 27.73 8.75 8.36 7.78 1.09 30266.06 RTS151 0.5 0.5 29 14
20170804 27.03 8.7 8.38 7.73 1.2 31902.63 RTS151 0.5 0.5 29 14
20170805 26.9 8.86 8.48 7.91 1.14 24999.18 RTS151 0.5 0.5 29 14
20170729 26.22 8.37 8.21 6.46 1.52 62028.61 RTS153 0.1734 0.1734 28 14
20170730 26.57 8.41 8.3 5.53 1.48 64760.81 RTS153 0.1734 0.1734 28 14
20170731 30.16 8.07 7.76 6.49 1.59 81630.7 RTS153 0.1734 0.1734 28 14
20170801 27.01 8.05 7.52 5.69 1.59 80173.86 RTS153 0.1734 0.1734 28 14
20170802 34.18 8.11 7.96 6.58 1.66 69614.98 RTS153 0.1734 0.1734 28 14
20170803 27.03 8.23 8.14 5.56 1.64 80344.71 RTS153 0.1734 0.1734 28 14
20170804 27.16 8.23 8.08 6.7 1.61 84076.7 RTS153 0.1734 0.1734 28 14
20170805 27.83 8.23 7.81 6.79 1.54 76478.55 RTS153 0.1734 0.1734 28 14
20170729 22.71 6.96 6.6 5.13 1.51 183979.21 RTS154 0.019 0.019 17 10
20170730 23.43 7.07 6.62 4.58 1.5 188860.41 RTS154 0.019 0.019 17 10
20170731 23.25 6.89 6.52 5.5 1.42 202972.12 RTS154 0.019 0.019 17 10
20170801 22.59 6.95 6.55 5.17 1.47 206141.75 RTS154 0.019 0.019 17 10
20170802 22.36 6.85 6.46 5.08 1.42 191825.09 RTS154 0.019 0.019 17 10
20170803 24.03 6.97 6.5 5.29 1.37 204721.57 RTS154 0.019 0.019 17 10
20170804 29.17 6.97 6.48 5.24 1.5 209333.24 RTS154 0.019 0.019 17 10
20170805 23.71 6.95 6.53 5.15 1.46 185161.21 RTS154 0.019 0.019 17 10
20170729 27.13 8.27 7.95 7.28 1.09 34719.74 RTS156 0.6867 0.5867 27 20
20170730 19.97 8.67 8.47 6.78 1.04 33737.98 RTS156 0.6867 0.5867 27 20
20170731 28.86 8.56 8.22 7.6 1.06 35465.0 RTS156 0.6867 0.5867 27 20
20170801 20.09 8.45 8.17 7.52 1.21 36973.38 RTS156 0.6867 0.5867 27 20
20170802 26.76 8.38 8.04 7.47 1.08 33659.21 RTS156 0.6867 0.5867 27 20
20170803 27.13 8.27 7.95 7.38 1.03 40517.1 RTS156 0.6867 0.5867 27 20
20170804 20.87 8.35 8.07 7.13 1.12 39969.83 RTS156 0.6867 0.5867 27 20
20170805 27.27 8.45 8.12 7.54 1.24 32947.08 RTS156 0.6867 0.5867 27 20
20170729 25.8 7.49 7.04 6.02 1.5 90920.15 RTS159 0.75 0.75 24 10
20170730 23.64 7.59 7.17 5.07 1.51 90445.45 RTS159 0.75 0.75 24 10
